Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
fellow,someone in the same group or situation; a boy or man,6,2,4.76,medium
many,used to refer to a large number of things,4,2,5.91,hard
currency,a money system that a country uses,8,3,4.37,medium
hurt,"to cause pain, damage, or injury",4,1,4.94,easy
ice,frozen water ,3,1,5.0,easy
gene,part of a cell that controls the development and appearance of a living thing,4,1,4.36,hard
identity,who someone is; the collection of qualities that makes a person,8,4,4.65,hard
curve,a smooth rounded line that is not straight,5,1,4.14,hard
image,"picture, sculpture, or painting of something",5,2,4.94,hard
imagine,to think creatively about; form a mental picture of,7,3,4.92,medium
modify,to make small changes to something,6,3,3.79,hard
month,"one of 12 time periods that make a year, each from 28 to 31 days long",5,1,5.25,easy
income,"earned money from work, investments, or business",6,2,4.97,medium
indicate,"to show something, direct attention to, or point out",8,3,4.35,hard
industrial,concerning the people and businesses that make certain products,10,4,4.71,hard
guard,"to keep watch over something to protect it e.g., a bank",5,1,4.73,easy
insist,to state your opinion strongly and firmly; to demand that something must happen,6,2,4.03,hard
instrument,a piece of equipment used for a particular purpose such as making music or measuring something,10,3,4.26,hard
depression,a feeling of great sadness,10,3,4.56,hard
off,away from; not on,3,1,5.93,easy
investor,a person who gives money to help a business grow for a profit,8,3,3.96,hard
on,"located on the surface of something (e.g., a table or wall)",2,1,6.91,easy
entrance,a way into a place,8,2,4.39,medium
order,"to ask for something you want to buy (e.g., a meal)",5,2,5.49,hard
accommodation,"a place to stay, often a hotel",13,5,4.06,hard
flood,a large amount of water covering land that is usually dry,5,1,4.34,hard
assistant,"a person who helps another, usually as a job",9,3,4.72,hard
party,"social event often with food, drinks, and dancing",5,2,5.49,hard
label,a piece of paper or cloth that is attached to something and gives information about it,5,2,4.43,hard
lady,another way of saying 'woman',4,2,4.95,hard
boss,"a person who manages you, or is in charge of you at work",4,1,4.76,easy
past,"the time that existed before now (e.g., long ago)",4,1,5.36,easy
forecast,"a prediction of some future thing (e.g., the weather)",8,2,4.09,hard
jacket,"a light, thin coat",6,2,4.32,hard
lawyer,a professional who is paid to help people with the law,6,2,4.67,medium
plan,to decide a set of actions to do something,4,1,5.29,easy
lesson,a time or event where teaching and learning occur; class,6,2,4.47,medium
bottle,a container with a narrow neck used to hold liquids like water or wine,6,2,4.57,medium
license,official document which allows a person to do or have something,7,2,4.52,medium
chemical,a basic substance produced by mixing elements,8,3,4.57,medium
delight,a strong feeling of great pleasure and happiness,7,2,3.97,hard
engine,a machine that changes energy into motion,6,2,4.84,medium
loan,something (usually money) that is given to someone for a period of time with a promise that it will be returned,4,1,4.68,easy
locate,"to find a certain place, position, or location of something",6,2,3.94,hard
expectation,a belief or hope that something is going to happen,11,4,3.99,hard
gentleman,a man who has good manners and is considerate,9,3,4.16,hard
journalist,"a person who writes news reports for newspapers, magazines, television, or radio",10,3,4.38,hard
lake,a large area of water surrounded by land,4,1,4.83,easy
room,"a part of building enclosed by walls (e.g., kitchen)",4,1,5.39,easy
mass,"a large amount of something, often of no particular shape",4,1,4.87,easy
master,1. someone who has control over others; 2. someone who is very skilled at doing something,6,2,4.93,medium
meal,"food for eating at a particular time (e.g., dinner)",4,1,4.48,hard
landscape,a large area of countryside or land that has a particular quality or appearance,9,2,4.36,hard
set,"complete group of something (e.g., a chess set)",3,1,5.59,easy
miss,"to be too late to ride on something (e.g., train or bus)",4,1,5.22,easy
mistake,"something done wrong, calculated wrong.; error",7,2,4.67,medium
model,a copy that represents an object or standard,5,2,5.13,hard
mirror,a thing with a glass surface used to look at yourself,6,2,4.47,medium
mouse,a small animal that has fur and a long tail,5,1,4.31,hard
moral,relating to people's belief about right or wrong behavior,5,2,4.46,hard
morning,early part of the day before 12 noon,7,2,5.33,hard
participant,a person who is actively involved and included in something,11,4,3.78,hard
passenger,A person who is traveling in a vehicle,9,3,4.38,hard
narrow,long but not wide; a small distance from one side to the other compared to length,6,2,4.39,medium
negative,"being harmful, unwanted, or unhelpful",8,3,4.79,medium
neither,not one or the other; not either; none of two things,7,2,4.77,medium
net,material made of string tied together and used to catch fish or other small animals,3,1,4.76,easy
nevertheless,despite what has just been done or said; nonetheless,12,4,4.25,hard
musician,"a person who writes, sings, or plays music, as a job",8,3,4.01,hard
noise,a loud or unpleasant sound ,5,1,4.55,hard
none,not one of a group; not at all or in no way,4,1,4.93,easy
opponent,a person that you are competing against in a game or contest,8,3,4.2,hard
occasion,particular time when something important or special happens,8,3,4.38,medium
odd,being strange or different from what is usual or expected,3,1,4.42,hard
plate,a flat dish used for eating or serving food,5,1,4.55,hard
snap,to break something long and thin,4,1,4.21,hard
onto,movement towards a position that is on something,4,2,4.77,hard
plot,"a plan to do something, often in secret and bad",4,1,4.58,hard
oppose,"to be against someone in a contest, game, or fight; to disagree",6,2,3.94,hard
producer,a company making or growing a certain product,8,3,4.44,medium
organize,"to arrange and plan things (e.g., a party)",8,3,3.98,hard
phenomenon,a fact that can be observed and studied,10,4,4.13,hard
original,"being first made, thought, or performed; fresh",8,4,5.16,hard
stay,to spend time visiting a place or someone's home,4,1,5.33,easy
package,box or container in which items are placed for mailing,7,2,4.46,medium
pair,"two of the same thing (e.g., socks)",4,1,4.72,easy
shadow,a dark shape that appears when something stops the light,6,2,4.44,medium
subject,"the person, or thing that is being talked, or written about",7,2,4.96,medium
singer,"a person who sings, often as a profession",6,2,4.52,medium
such,"so like, or similar",4,1,5.84,easy
statistic,a number that represents a piece of information,9,3,3.45,hard
substance,a particular type of material,9,2,4.23,hard
summary,a brief statement that gives the most important information,7,3,4.37,medium
permit,to allow someone to do something or for something to happen,6,2,4.22,hard
protein,"a substance found in some foods, such as meat, that is needed by the body to stay healthy",7,2,4.53,medium
teenager,a person between the ages of 13 and 19,8,3,4.09,hard
photograph,a picture made with a camera that shows how things look in real life,10,3,4.23,hard
throat,passage inside the neck used to swallow and breathe,6,1,4.3,hard
tourism,"traveling to new places (e.g., abroad, for vacations)",7,3,4.28,hard
plenty,a large  amount of something; a lot; not too little,6,2,4.72,medium
tower,"a tall, narrow building",5,2,4.5,hard
transition,a gradual change from one condition to another,10,3,4.46,hard
population,"number of people who live in a country, area, etc.",10,4,5.01,hard
trap,a device used for catching animals,4,1,4.33,hard
practical,"relating to what is sensible, real, or useful rather than with ideas or theories",9,3,4.48,hard
presence,fact that someone or something is in a particular place,8,2,4.73,medium
president,"person in charge of a country, company, or organization",9,3,5.45,hard
principal,1. most important; main; 2.  the person in charge of a (US) public school,9,3,4.52,hard
principle,strong belief that influences a person's actions; basic law or belief,9,3,4.34,hard
print,"to make many copies of a page, magazine, or book",5,1,4.54,hard
prison,a place where people who have committed serious crimes are held,6,2,4.8,medium
turn,"to change the direction of something (e.g., a car)",4,1,5.32,easy
professional,"about a job such as a doctor, lawyer, accountant, etc.",12,4,5.05,hard
property,"things, buildings, or pieces of land owned by someone",8,3,5.11,hard
vegetable,a plant that is raised and eaten as food,9,3,3.94,hard
row,a straight line of people or things; one after another,3,1,4.6,hard
provision,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement,9,3,4.14,hard
sheet,"a large piece of fabric or material that is used to cover something, often a bed",5,1,4.4,hard
race,"contest between people, animals, or vehicles, to determine which is the fastest",4,1,5.08,easy
rank,to place someone or something in higher or lower position relative to others,4,1,4.44,hard
ready,prepared to do something,5,2,5.28,hard
recommendation,suggestion about someone or something being a good choice,14,5,4.09,hard
water,"clear liquid that forms the seas, rivers, and rain",5,2,5.52,hard
reflect,"to bounce back off a surface (e.g., light)",7,2,4.39,medium
region,"part of a country, of the world, area, etc.",6,2,5.0,medium
shirt,a light piece of clothing with sleeves for the upper body,5,1,4.63,hard
relation,"manner in which people, groups, or countries behave toward one another",8,3,4.31,hard
relax,to stop feeling nervous or worried; to rest and do something enjoyable,5,2,4.29,hard
release,"to allow to leave jail, cage, prison, etc.",7,2,5.09,hard
relevant,direct related to a subject in a considerable way,8,3,4.61,medium
which,question word to ask about a person's choice,5,1,6.3,easy
rely,able to depend on,4,2,4.29,hard
voter,a person who can vote in an election,5,2,4.11,hard
represent,to stand in the place or to act the part of,9,3,4.58,hard
witness,a person who sees something happen,7,2,4.52,medium
would,"modal verb used to indicate possibility, request, etc.",5,1,6.27,easy
ring,"to produce a sound from a bell, alarm, or telephone; a piece of jewelry worn on a finger",4,1,4.81,easy
write,to make letters and words on paper or a screen,5,1,5.03,easy
joint,1. (n.) place where two things meet; 2. (adj.) done together,5,1,4.71,easy
reserve,1. (v) to arrange to use a room or table at a particular time; 2. (n) a store of something,7,2,4.6,medium
pupil,1. a child or young person who is being taught; a student; 2. the black round part in the center of the eye that lets in light,5,2,3.81,hard
sample,"to try something to see if you like it (e.g., food)",6,2,4.53,medium
scientist,"a person who is trained to gain knowledge by making predictions, testing them, and developing theories",9,3,4.21,hard
seat,something on which a person can sit,4,1,4.82,easy
secret,something that you don't want others to know; private,6,2,4.92,medium
secretary,an employee who does general office work for another person in the office,9,4,4.95,hard
security,"things done to protect people, buildings, a country, etc., from harm",8,4,5.2,hard
seriously,in a serious way; in a way that shows something is important,9,4,4.94,hard
session,period of time for doing a particular activity,7,2,4.72,medium
pitch,1. the level of a sound; 2. a throw of a ball; 3. a speech to sell something; 4. black substance that is sticky when hot and hard when dry,5,1,4.43,hard
second,2nd; the one following first,6,2,5.63,hard
hour,60 minutes; one of 24 equal units of time in a day,4,2,5.18,hard
fault,a bad quality or part of someone or something; responsibility for a mistake or bad situation,5,1,4.64,hard
shoe,outer covering worn on the foot to protect it usually sold in pairs,4,1,4.24,hard
shot,"the act of firing a gun, or kicking or throwing a ball at a goal",4,1,5.22,easy
god,a being with special powers that cannot be explained by nature,3,1,5.57,easy
sight,the ability to see ,5,1,4.54,hard
sign,"something such as a mark or event that shows that something exists, is true, is happening or will happen",4,1,5.08,easy
signal,"An action, change, or process that gives information about something",6,2,4.62,medium
muscle,a body tissue that can become longer or shorter and moves the body,6,2,4.44,medium
enterprise,a business or organization,10,3,4.38,hard
site,"present, former, or future location of something, such as a building",4,1,5.22,easy
skin,outer layer of an animal's or human's body,4,1,4.91,easy
company,a business that sells things or provides services,7,3,5.6,hard
slowly,done in a way that takes a long time,6,2,4.63,medium
smile,to show happiness by pulling up the corners of your mouth,5,1,4.64,hard
symptom,a change in someone or something that shows they have an illness or problem,7,2,3.64,hard
revolution,"a change in the way a country is governed, usually by violence or war; a complete change",10,4,4.56,hard
amendment,"a change, addition, or improvement to something",9,3,4.38,hard
carbon,a chemical element (C) found in all living things,6,2,4.55,medium
square,shape with four sides of equal length sides and four right (90°) angles,6,1,4.84,hard
cousin,a child of your uncle or aunt,6,2,4.41,medium
insight,a clear idea about how something works,7,2,4.19,hard
orange,a color that is a mixture of red and yellow,6,2,4.62,medium
tournament,a competition made up of a series of games between many competitors,10,3,4.56,hard
bin,a container for storing things,3,1,4.22,hard
stock,piece of a business bought in the form of shares,5,1,4.93,easy
strongly,in a strong manner; in a very serious way,8,2,4.47,medium
structure,"way something is built, arranged, or organized",9,2,4.84,hard
studio,"the building or room where art is made, such as paintings, movies, or music",6,3,4.66,medium
style,the particular way something is done or made,5,1,5.11,easy
emotion,"a feeling such as sadness, anger, or love",7,3,4.19,hard
mother,a female who has a child or children,6,2,5.24,hard
succeed,to finally achieve something that you were trying to achieve,7,2,4.29,hard
slice,a flat piece of food that has been cut from a bigger piece,5,1,4.0,hard
disk,a flat round object,4,1,4.01,hard
resolution,a formal agreement or statement decided by a group of people,10,4,4.59,hard
suspect, to think that someone may have committed a crime or done something wrong ,7,2,4.51,medium
switch,to change from one thing to another; a thing you move to change from one thing to another,6,1,4.6,hard
negotiation,a formal discussion to reach an agreement,11,5,3.78,hard
welfare,a government program to help poor people,7,2,4.43,medium
taste,the particular quality of food or drink that can be sensed by a person's mouth,5,1,4.73,easy
tear,1. (v) to damage something by pulling it apart; 2. (n) drop of salty water from the eye,4,1,4.35,hard
technology,"use or knowledge of science in industry, engineering, etc.",10,4,5.09,hard
family,a group of people who are related through blood,6,3,5.66,hard
television,"device that broadcasts programs, movies, or show",10,4,4.79,hard
temperature,"a measure of how hot or cold something is (e.g., the weather)",11,3,4.64,hard
theory,idea or set of ideas that try to explain facts or events,6,2,4.88,medium
species,a group of related animals or plant,7,2,4.85,medium
dozen,a group of twelve people or things,5,2,4.35,hard
tie,to join together two ends of string or rope; to join two or more things together with string or rope,3,1,4.51,hard
phrase,a group of words that forms a unit and expresses a single meaning,6,1,4.3,hard
tool,"device used to make things (e.g., a hammer or driver)",4,1,4.56,hard
touch,"to feel an object with your fingers, etc.",5,1,4.91,easy
gesture,a hand or body movement that expresses a particular idea or feeling,7,2,3.9,hard
city,a heavily populated area with many buildings and roads,4,2,5.61,hard
tradition,"way of thinking, and behaving that was used for a long time",9,3,4.5,hard
bell,a hollow metal object shaped like a cup that rings when it is hit,4,1,4.59,hard
disorder,a lack of organization,8,3,4.31,hard
troop,group of soldiers; an organized group,5,1,3.69,hard
true,agreeing with the facts; not false; real or actual,4,1,5.4,easy
chicken,a large bird that is raised on farms for its eggs and meat,7,2,4.63,medium
union,organization of people or groups who have a similar interest or particular goal,5,2,5.08,hard
user,"person that uses a service or thing (e.g., a website)",4,2,4.69,hard
variety,particular types of things or persons,7,4,4.75,hard
convention,"a large meeting of the members of a profession, organization, or who have the same interests",10,3,4.5,hard
victim,"person who has suffered from a crime, bad situation, or event",6,2,4.56,medium
violence,use of physical force to harm someone or damage something,8,3,4.75,medium
lot,"A large quantity, or number taken together",3,1,5.61,easy
truck,a large road vehicle used to carry things,5,1,4.64,hard
wake,to stop sleeping; to make someone stop sleeping,4,1,4.76,easy
mail,"a letter, package, or email",4,1,4.72,easy
wear,"to have clothes, glasses, shoes, etc., on your body",4,1,4.92,easy
weather,"whether it is raining, sunny, cold, etc., outside",7,2,4.87,medium
wed,to marry; to get married,3,1,3.66,hard
west,the direction where the sun sets; opposite of east,4,1,5.29,easy
agenda,a list of subjects that people will discuss at a meeting,6,3,4.3,hard
gaze,a long continuous look at someone or something,4,1,3.7,hard
far,a long way away,3,1,5.5,easy
counter,"a long, flat surface in a shop or kitchen where work is done",7,2,4.56,medium
passage,"a long, narrow area that connects one place to another",7,2,4.27,hard
wood,hard material that trees are made of and is used for building and fuel,4,1,4.78,easy
heavily,a lot or to a great degree,7,3,4.54,medium
much,a lot; large amount; a high degree of,4,1,6.0,easy
writer,"professional who writes books, articles, etc.",6,2,4.69,medium
aircraft,a machine that can fly,8,2,4.64,medium
motor,a machine that uses energy to make something work or move,5,2,4.53,hard
ability,"power, money, knowledge, or skill to do something",7,4,4.96,hard
cloud,"a mass of water vapor in the sky, as when it is going to rain",5,1,4.46,hard
leather,a material made from the skin of an animal,7,2,4.35,hard
inch,a measure of length; 1/12 of a foot (2.54 centimeters),4,1,4.49,hard
above,in a higher place than something else,5,2,5.2,hard
abortion,a medical operation to end the time when a female is going to have a baby,8,3,4.24,hard
motion,a movement; the way something moves,6,2,4.59,medium
web,a net made by spiders; many things connected together,3,1,4.74,easy
absolutely,completely; totally; very,10,4,4.98,hard
minority,a part of a group that is less than half of the whole; a small part,8,4,4.41,hard
mechanism,a part or a set of parts of a machine that has a particular function,9,4,4.27,hard
accept,to agree to receive or take something offered,6,2,4.85,medium
edition,a particular version of something that is sold to the public,7,3,4.8,medium
access,an entrance to a place; a way in,6,2,5.05,hard
trail,"a path through the countryside, often where people walk",5,1,4.45,hard
circle,a perfectly round shape or a group arranged in that shape,6,2,4.55,medium
accord,agreement or harmony,6,2,3.81,hard
account,arrangement with a bank to keep your money for you,7,2,5.21,hard
day,a period of 24 hours,3,1,5.95,easy
era,a period of time in history that is special for a particular reason,3,2,4.67,hard
achieve,"to succeed in doing something good, usually by working hard",7,2,4.57,medium
chairman,a person in charge of a meeting,8,2,4.8,medium
manufacturer,a person or company that makes a product,12,5,4.21,hard
acquire,to get or earn something by thinking or working,7,3,4.13,hard
server,a person or thing that brings things to you when asked to,6,2,4.46,medium
pilot,"a person who controls an airplane, spacecraft, or boat",5,2,4.52,hard
act,to behave in a certain way,3,1,5.3,easy
action,something that a person or thing does,6,2,5.25,hard
active,moving around a lot or doing many things,6,2,4.93,medium
actor,"person who acts in the theater, movies, or tv",5,2,4.65,hard
actual,"real or existing in fact, not imagined; real",6,3,4.85,medium
lover,a person who likes someone or something very strongly,5,2,4.26,hard
ad,public notice or advertisement,2,1,4.76,easy
refugee,a person who ran away from his or her country because of war,7,3,3.98,hard
addition,fact of adding something; thing that is added,8,3,5.01,medium
additional,further or added,10,4,4.98,hard
address,exact street location of a place,7,2,4.91,medium
scholar,a person who studies and knows a lot about a particular subject,7,2,3.96,hard
